date,vicage,vicsex,vicethnic,susno,susage,sussex,weapon,Status,latitude,longitude,ladnm
2014-03-19,42,F,Black or Black British,1,46,M,Knife,Solved,51.59655,-0.07437,Haringey
2014-03-23,15,F,Black or Black British,1,15,M,Gun,Solved,51.54977,-0.02353,Hackney
2014-03-24,56,M,Any Other Ethnic Appearance,3,28,M,None,Solved,51.51215,0.03729,Newham
2014-03-24,22,M,Asian or Asian British,2,33,M,Knife,Solved,51.54081,0.00125,Newham
2014-03-31,45,F,Black or Black British,1,53,M,None,Solved,51.55437,-0.03411,Hackney
2014-03-31,1,F,Black or Black British,1,53,M,None,Solved,51.55437,-0.03411,Hackney
2014-04-11,60,F,White or White British,1,67,M,Knife,Solved,51.52621,-0.08566,Hackney
2014-04-22,39,M,Black or Black British,2,15,M,Knife,Solved,51.4595,-0.24036,Wandsworth
2014-04-22,49,M,White or White British,1,36,M,Knife,Solved,51.46953,-0.26664,Richmond upon Thames
2014-04-22,3,M,White or White British,1,42,F,None,Solved,51.39464,-0.26149,Kingston upon Thames
2014-04-22,3,M,White or White British,1,42,F,None,Solved,51.39464,-0.26149,Kingston upon Thames
2014-04-22,4,F,White or White British,1,42,F,None,Solved,51.39464,-0.26149,Kingston upon Thames
2014-04-24,52,M,White or White British,1,23,M,Knife,Solved,51.34945,-0.04295,Croydon
2014-04-27,51,M,White or White British,2,32,M,None,Solved,51.57877,-0.07414,Haringey
2014-05-06,17,M,Asian or Asian British,1,16,M,Knife,Solved,51.44727,-0.12164,Lambeth
2014-05-06,18,M,Black or Black British,5,16,M,Knife,Solved,51.41518,-0.36755,Richmond upon Thames
2014-05-07,75,M,Asian or Asian British,1,48,F,None,Solved,51.5196,-0.14997,Westminster
2014-05-08,79,M,Asian or Asian British,1,28,M,None,Solved,51.50603,-0.45473,Hillingdon
2014-05-09,67,F,White or White British,1,44,M,Knife,Solved,51.54651,-0.13815,Camden
2014-05-16,43,M,White or White British,1,46,M,Poison,Solved,51.41076,-0.29906,Kingston upon Thames
2014-05-16,49,M,White or White British,2,31,M,Knife,Solved,51.65305,-0.1825,Barnet
2014-05-18,25,M,Black or Black British,7,28,M,Knife,Solved,51.56762,0.14157,Barking and Dagenham
2014-05-27,38,F,Asian or Asian British,1,41,M,Other,Solved,51.55408,-0.35222,Ealing
2014-05-29,42,F,White or White British,2,49,M,Knife,Solved,51.5563,-0.24833,Brent
2014-05-31,18,M,Black or Black British,9,17,M,Knife,Solved,51.43107,-0.06657,Lewisham
2014-06-01,20,F,White or White British,1,47,F,Knife,Unsolved,51.61086,-0.06716,Enfield
2014-06-08,24,M,Black or Black British,3,17,M,Knife,Solved,51.55435,-0.10527,Islington
2014-06-15,30,M,White or White British,3,22,M,None,Solved,51.49046,-0.12258,Lambeth
2014-06-19,23,M,White or White British,1,40,M,Poison,Solved,51.53462,0.08003,Barking and Dagenham
2014-06-29,19,M,Black or Black British,3,18,M,Knife,Solved,51.54063,-0.24573,Brent
2014-06-29,23,M,White or White British,1,20,M,None,Solved,51.47218,0.18217,Bexley
2014-06-30,67,M,White or White British,2,32,M,Knife,Solved,51.56214,-0.17639,Camden
2014-07-03,38,M,White or White British,5,20,M,Knife,Solved,51.5928,-0.2198,Barnet
2014-07-03,74,M,Any Other Ethnic Appearance,3,38,M,None,Unsolved,51.53134,-0.07578,Hackney
2014-07-13,22,M,Black or Black British,5,18,M,Knife,Solved,51.4179,0.00068,Bromley
2014-07-25,55,M,White or White British,1,52,M,Knife,Solved,51.56204,0.04597,Newham
2014-08-10,26,M,White or White British,2,17,M,Knife,Solved,51.45403,0.02268,Greenwich
2014-08-13,25,M,Black or Black British,3,24,M,Knife,Solved,51.44467,-0.19157,Wandsworth
2014-08-18,19,M,White or White British,2,19,M,Knife,Solved,51.54255,-0.05199,Hackney
2014-08-20,38,M,Asian or Asian British,3,33,M,Knife,Solved,51.37494,-0.0594,Croydon
